Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Urban population,SP.URB.TOTL,Romania,ROU,6296818,6474669,6646237,6820612,6997996,7174333,7368164,7586123,7786878,7968040,8164758,8352002,8535661,8713690,8900706,9120255,9340263,9560064,9801109,10019804,10247190,10486040,10693684,10890056,11084645,11296022,11511242,11720962,11941563,12160692,12347321,12404523,12360656,12309016,12256584,12197105,12127405,12058033,11998890,11945687,11895672,11697189,11469356,11415407,11378651,11336529,11297334,11159030,11001524,10936933,10898688,10871606,10826124,10778604,10730940,10677968,10619557,10562819,10510000,10464000,10425000,10392000,10366000,10345000,10330000,10320000,10315000,10313000,10315000,10318000,10323000,10330000,10339000,10350000,10363000,10378000,10395000,10414000,10436000,10460000,10486000,10512000,10536000,10559000,10581000,10601000,10619000,10634000,10647000,10656000,10660000
Urban population,SP.URB.TOTL,Russian Federation,RUS,64421857,66226377,68060071,69923357,71815164,73731369,75267305,76812479,78366306,79922296,81464683,82992261,84524649,86061054,87600777,89145034,90810675,92479950,94157479,95659612,96960865,98228786,99464693,100677781,102058393,103466989,104825013,106169956,107471421,108424260,108837430,109073667,109115423,108985461,108843023,108866238,108700578,108515107,108329743,107987645,107528575,107067618,106568907,106132766,105771150,105433013,105152847,105037426,105055515,105149982,105261473,105407907,105669949,105998510,106354643,106703732,107050095,107349518,107508000,107649000,107780000,107900000,108014000,108125000,108231000,108327000,108415000,108491000,108549000,108592000,108620000,108637000,108646000,108652000,108660000,108675000,108702000,108744000,108795000,108859000,108940000,109040000,109162000,109303000,109460000,109632000,109819000,110013000,110212000,110413000,110596000
Urban population,SP.URB.TOTL,Rwanda,RWA,76269,79516,82671,85828,89287,93173,97647,102652,108146,113914,119920,129048,139071,149817,161506,174276,188169,203287,219770,231314,242693,254377,266397,279142,293389,309494,328521,349936,370490,385480,391891,387212,421412,460712,509833,583145,695539,813080,935002,1067913,1197916,1318462,1432119,1467326,1491021,1520682,1557477,1598595,1643108,1689182,1735200,1781212,1827955,1875211,1924967,1977489,2032650,2090690,2152000,2215000,2281000,2350000,2422000,2498000,2577000,2660000,2747000,2839000,2935000,3037000,3144000,3256000,3375000,3500000,3631000,3769000,3914000,4066000,4225000,4392000,4563000,4738000,4917000,5100000,5287000,5477000,5672000,5869000,6071000,6275000,6484000
Urban population,SP.URB.TOTL,Samoa,WSM,20562,21287,22070,22885,23710,24525,25330,26292,27287,28240,29141,29976,30572,31017,31414,31779,32113,32355,32546,32736,32936,33152,33369,33577,33768,33927,34046,34135,34221,34344,34528,34784,35197,35694,36181,36628,37025,37376,37703,38028,38374,38744,38744,38549,38361,38177,37995,37824,37667,37520,37386,37265,37127,36978,36822,36648,36451,36247,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,37000,37000,37000,38000,39000,39000,40000,40000,41000,42000,43000,44000,45000,46000,46000,47000,48000,49000,50000,51000,52000
Urban population,SP.URB.TOTL,San Marino,SMR,7529,7895,8278,8677,9079,9488,9897,10314,10719,11098,11445,12022,12551,13051,13558,14107,14698,15347,16033,16714,17352,17953,18516,19054,19557,20049,20525,20982,21213,21461,21735,22045,22373,22838,23286,23720,24126,24499,24863,25230,25619,26027,26413,26777,27179,27618,28055,28480,28914,29343,29785,30232,30692,31130,31533,31885,32177,32422,33000,33000,33000,33000,33000,33000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,35000,35000,35000,35000,35000,35000,35000,35000,34000,34000,34000,34000,34000
Urban population,SP.URB.TOTL,Sao Tome and Principe,STP,10327,10848,11578,12318,13153,14147,15358,16781,18397,20127,21918,22952,23696,24431,25231,26136,27167,28302,29493,30675,31791,32824,34375,36001,37671,39432,41292,43245,45301,47454,49712,52092,54375,56718,59102,61496,63885,66275,68722,71295,74049,77010,80493,84225,88099,92078,96151,100340,104621,109018,113521,118122,122828,127580,132381,137227,142120,147050,152000,157000,162000,167000,172000,178000,183000,188000,193000,199000,204000,209000,215000,220000,226000,231000,237000,242000,247000,253000,258000,264000,269000,274000,280000,285000,291000,296000,302000,307000,313000,318000,324000
Urban population,SP.URB.TOTL,Saudi Arabia,SAU,1277043,1365778,1462345,1581327,1724652,1877829,2041288,2216381,2405728,2612506,2840512,3092472,3370030,3673416,4002925,4334574,4683115,5055933,5461789,5912135,6415159,6974793,7587048,8238568,8909272,9581496,10249200,10834545,11406882,11963488,12503565,13025844,13529595,13963824,14361205,14739486,15096728,15438078,15783292,16157594,16579888,17059277,17591642,18164689,18758258,19358560,19958564,20562409,21180379,21826964,22512092,23240455,24002062,24776059,25532369,26249232,26918246,27543592,28133000,28700000,29256000,29800000,30330000,30846000,31351000,31843000,32324000,32794000,33255000,33704000,34143000,34571000,34990000,35396000,35790000,36170000,36535000,36886000,37225000,37556000,37879000,38196000,38507000,38811000,39108000,39396000,39677000,39949000,40213000,40466000,40708000
Urban population,SP.URB.TOTL,Senegal,SEN,737552,779172,823109,869496,918601,970475,1025247,1083052,1144140,1208733,1277252,1348134,1423194,1501438,1581749,1663157,1740830,1801704,1863904,1929557,2000434,2077137,2159401,2246934,2339064,2434954,2534656,2638363,2744603,2840199,2938833,3040925,3146046,3252700,3359244,3464181,3567106,3668587,3770559,3875456,3985250,4100823,4221853,4364221,4525462,4693353,4868171,5050417,5241233,5441952,5653821,5877406,6112178,6356827,6609171,6868749,7134961,7408555,7690000,7979000,8277000,8584000,8900000,9225000,9560000,9904000,10258000,10622000,10996000,11381000,11778000,12185000,12604000,13034000,13476000,13929000,14393000,14869000,15357000,15854000,16362000,16881000,17408000,17946000,18492000,19047000,19611000,20182000,20761000,21348000,21943000
Urban population,SP.URB.TOTL,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3822813,3855241,3898223,3942353,3977770,3938573,3951731,3957625,3959596,3962104,3966301,3976219,3989274,3997403,4004805,4009310,4010029,4010264,4009546,4009752,4009779,3994308,3985121,3973872,3963388,3951845,3939250,3927608,3923000,3920000,3918000,3916000,3916000,3917000,3918000,3921000,3923000,3926000,3929000,3932000,3935000,3938000,3941000,3944000,3947000,3951000,3955000,3959000,3964000,3970000,3976000,3982000,3989000,3995000,4001000,4007000,4012000,4016000,4021000,4024000,4026000
Urban population,SP.URB.TOTL,Seychelles,SYC,11540,12316,13118,13949,14819,15733,16693,17693,18736,19818,20940,22062,23421,24621,25937,27432,28905,30449,30700,30955,31229,31603,31779,31731,31910,32160,32351,33744,33860,34065,34246,34731,34930,35718,36750,37376,38024,38583,39471,40396,40917,41126,42595,42320,42382,42813,43966,44460,45755,46241,47880,46973,47790,49055,50219,51754,52859,53922,55000,55000,56000,56000,57000,57000,58000,58000,58000,59000,59000,60000,60000,60000,61000,61000,61000,62000,62000,62000,62000,63000,63000,63000,63000,64000,64000,64000,64000,64000,64000,64000,64000
